Tue May  9 17:27:30 2023	Record: 49 moving-out, 1066 moving-in and 1310 deletes made while the cleansing of 20130527 day data.
Tue May  9 17:27:36 2023	Record: 57 moving-out, 1444 moving-in and 1439 deletes made while the cleansing of 20130528 day data.
Tue May  9 17:27:39 2023	Record: 70 moving-out, 1307 moving-in and 1721 deletes made while the cleansing of 20130529 day data.
Tue May  9 17:27:41 2023	Record: 44 moving-out, 946 moving-in and 1442 deletes made while the cleansing of 20130530 day data.
Tue May  9 17:27:45 2023	Record: 38 moving-out, 932 moving-in and 1556 deletes made while the cleansing of 20130531 day data.
Tue May  9 17:27:54 2023	Record: 15 moving-out, 699 moving-in and 892 deletes made while the cleansing of 20130601 day data.
Tue May  9 17:27:58 2023	Record: 14 moving-out, 1431 moving-in and 747 deletes made while the cleansing of 20130602 day data.
Tue May  9 17:28:01 2023	Record: 67 moving-out, 1780 moving-in and 1391 deletes made while the cleansing of 20130603 day data.
Tue May  9 17:28:05 2023	Record: 70 moving-out, 1481 moving-in and 1625 deletes made while the cleansing of 20130604 day data.
Tue May  9 17:28:19 2023	Record: 48 moving-out, 1657 moving-in and 1647 deletes made while the cleansing of 20130605 day data.
Tue May  9 17:28:43 2023	Record: 65 moving-out, 2487 moving-in and 1426 deletes made while the cleansing of 20130606 day data.
Tue May  9 17:28:52 2023	Record: 23 moving-out, 2058 moving-in and 1204 deletes made while the cleansing of 20130607 day data.
Tue May  9 17:28:57 2023	Record: 31 moving-out, 1703 moving-in and 718 deletes made while the cleansing of 20130608 day data.
Tue May  9 17:29:01 2023	Record: 20 moving-out, 2329 moving-in and 922 deletes made while the cleansing of 20130609 day data.
Tue May  9 17:29:05 2023	Record: 27 moving-out, 2422 moving-in and 1626 deletes made while the cleansing of 20130610 day data.
Tue May  9 17:29:11 2023	Record: 129 moving-out, 2220 moving-in and 1816 deletes made while the cleansing of 20130611 day data.
Tue May  9 17:29:20 2023	Record: 85 moving-out, 2482 moving-in and 1923 deletes made while the cleansing of 20130612 day data.
Tue May  9 17:29:22 2023	Record: 182 moving-out, 2230 moving-in and 4871 deletes made while the cleansing of 20130613 day data.
